	Bayesian Skyline: Flu.log			
Time	Mean	Median	Upper	Lower
2005.0	59.97517447665709	37.75754186855553	249.37866161072523	11.338254726868541
2004.918161103903	59.97517447665709	37.75754186855553	249.37866161072523	11.338254726868541
2004.836322207806	59.97517447665709	37.75754186855553	249.37866161072523	11.338254726868541
2004.754483311709	59.97517447665709	37.75754186855553	249.37866161072523	11.338254726868541
2004.672644415612	59.97517447665709	37.75754186855553	249.37866161072523	11.338254726868541
2004.590805519515	59.97517447665709	37.75754186855553	249.37866161072523	11.338254726868541
2004.508966623418	59.97517447665709	37.75754186855553	249.37866161072523	11.338254726868541
2004.427127727321	59.97517447665709	37.75754186855553	249.37866161072523	11.338254726868541
2004.345288831224	59.97517447665709	37.75754186855553	249.37866161072523	11.338254726868541
2004.263449935127	59.97517447665709	37.75754186855553	249.37866161072523	11.338254726868541
2004.18161103903	59.97517447665709	37.75754186855553	249.37866161072523	11.338254726868541
2004.099772142933	59.93995193198034	37.67054065719265	249.37866161072523	11.334614439307629
2004.017933246836	59.87395584068456	37.53110450581696	249.37866161072523	11.28890001113049
2003.936094350739	59.709870620174385	37.472952806811485	249.15713468034963	11.275593762566087
2003.854255454642	59.59445859833412	37.34675285322126	249.15713468034963	11.266082190662631
2003.772416558545	59.273877738273576	36.85480340701659	245.41714833685643	10.982904059705529
2003.690577662448	58.34742748549746	36.416136744230954	244.46590995144632	10.59988875885787
2003.608738766351	57.230379700673744	35.48718689669976	244.30798285478372	9.685195441620888
2003.526899870254	55.25443624084178	34.06624237018855	236.13491679205646	8.378700646162558
2003.445060974157	53.02684585502095	32.57913236322996	230.47364439427966	6.791505108192061
2003.36322207806	49.56728138307134	30.559366691785392	210.60965780866383	6.0882693232620895
2003.281383181963	46.79362182956785	28.49891176957027	200.74976604422093	5.477949478141354
2003.199544285866	42.86885798331219	26.381889716895895	177.637154880051	5.074787749343422
2003.117705389769	39.56678837069404	24.16656029790196	159.2957467149158	4.53462324131066
2003.035866493672	36.523030010613105	21.864749904917627	149.45382927423464	4.163717664525372
2002.954027597575	33.17184439340671	19.641501039964695	133.7644551396917	3.765371124774191
2002.872188701478	29.5896132567522	17.535742718143663	122.67429133889175	3.2126838786015797
2002.790349805381	26.9328480233995	14.779310867314543	116.5545777805992	2.668906814871513
2002.708510909284	23.817660583937467	11.766708519844642	107.20110452994224	2.4735806454898634
2002.626672013187	21.17115661114363	9.73024732898524	97.80541371193472	2.2406976976788027
2002.54483311709	17.449434532761757	7.940485353501401	89.0822811772471	2.0722031473316553
2002.462994220993	15.254252319649519	6.972031941338301	83.28142551052704	1.9750218917490288
2002.381155324896	12.749977147375533	6.373522074872895	65.7253202104048	1.8227101185157422
2002.299316428799	11.15980685193552	5.980738519020461	53.56527714591423	1.8193137266644308
2002.217477532702	9.874877617940482	5.720703920023076	47.93075360672656	1.7391376712852749
2002.135638636605	8.503969007711342	5.542076226825376	36.48380266882302	1.672838770965366
2002.053799740508	7.707051374928552	5.341540437615478	28.386288775327607	1.4992864645709798
2001.9719608444111	7.237337071101126	5.20130083170126	23.841641176530953	1.4080469816603673
2001.8901219483141	6.770573104749601	5.051150333623122	20.688003131199665	1.3593379679068491
2001.8082830522171	6.287510616365521	4.876216608799677	19.063205115121665	1.3070412281913721
2001.7264441561201	5.970912138139831	4.725777516851455	17.544311865870814	1.2541736634281881
2001.6446052600231	5.73311736548688	4.580547604517819	17.132476864228696	1.170928487140184
2001.5627663639261	5.509034201059709	4.457630197505553	16.154359902189768	1.1173042491402652
2001.4809274678291	5.327391861774394	4.303478380228516	16.040334039926226	1.0509164411033283
2001.3990885717321	5.117086094488703	4.139569068204449	15.254534206757123	0.9487551052738326
2001.3172496756351	4.929389199748439	3.9886546170190362	14.886418354596504	0.8578504661107462
2001.2354107795381	4.771706518178547	3.8063313721364143	14.188720758736308	0.7874785167110158
2001.1535718834411	4.636632376708092	3.6713174441338032	13.854435189404233	0.7635573269797327
2001.0717329873441	4.4792699613371685	3.520856972491214	13.639297455007377	0.7044001110180553
2000.9898940912472	4.340442826501794	3.414391195061295	13.344140179555232	0.6367494109265328
2000.9080551951502	4.207385243062816	3.243869840681171	13.163067436237188	0.5908540198144608
2000.8262162990532	3.990196264155976	3.1094749617042114	12.305851744304015	0.5861624864908085
2000.7443774029562	3.8307401264954577	2.9907603979312825	11.905522799440567	0.5661337104703505
2000.6625385068592	3.7153261829372566	2.864347151064571	11.716808956530416	0.5569451977900466
2000.5806996107622	3.5753015663907197	2.74684428709671	11.288637330505333	0.5316595073915037
2000.4988607146652	3.4421509852549783	2.6194482270794865	10.878353061415368	0.5086104418236509
2000.4170218185682	3.3188263778218396	2.4999240561321177	10.565002367613628	0.5012712470605863
2000.3351829224712	3.210150796252543	2.3766728007033304	10.43626335177572	0.4953481266589265
2000.2533440263742	3.1229332875899343	2.272005215197497	10.1727632059335	0.4848692586159247
2000.1715051302772	2.986699931124208	2.156872514488386	9.899463564502204	0.48267206385134404
2000.0896662341802	2.895165285087313	2.089340744315324	9.614410244051344	0.47795424251049135
2000.0078273380832	2.8143658166501697	2.0248327292120356	9.375689679272256	0.4728340947747565
1999.9259884419862	2.720173046829174	1.9458686679680568	8.908975979005955	0.4642713105375033
1999.8441495458892	2.6220450372900075	1.8694576357468013	8.737223710757235	0.46109682383368367
1999.7623106497922	2.542951854446244	1.7897262016464632	8.594114924142877	0.4595093197057329
1999.6804717536952	2.486534571806109	1.7371230885092392	8.265331686347473	0.4595093197057329
